Model,Prompt Type,F1,Precision,Recall,Timestamp
mistral:7b-instruct,Few-Shot,0.5345838218053928,0.4989059080962801,0.5757575757575758,2025-12-21 19:57:34
mistral:7b-instruct,Chain-of-Thought,0.5267379679144385,0.5596590909090909,0.49747474747474746,2025-12-21 19:57:34
mistral:7b-instruct,Zero-Shot,0.5368421052631579,0.5604395604395604,0.5151515151515151,2025-12-21 19:57:34
qwen2.5:14b,Zero-Shot,0.6528354080221299,0.7217125382262997,0.5959595959595959,2025-12-21 20:17:04
qwen2.5:14b,Chain-of-Thought,0.6363636363636364,0.6550802139037433,0.6186868686868687,2025-12-21 20:17:04
qwen2.5:14b,Few-Shot,0.672544080604534,0.6708542713567839,0.6742424242424242,2025-12-21 20:17:04
gemma2:27b,Chain-of-Thought,0.6180048661800487,0.596244131455399,0.6414141414141414,2025-12-22 02:11:21
gemma2:27b,Few-Shot,0.7206068268015172,0.7215189873417721,0.7196969696969697,2025-12-22 02:11:21
gemma2:27b,Zero-Shot,0.6712898751733705,0.7446153846153846,0.6111111111111112,2025-12-22 02:11:21
llama3.1:8b,Chain-of-Thought,0.6005361930294906,0.64,0.5656565656565656,2025-12-21 20:00:59
llama3.1:8b,Few-Shot,0.6499372647427855,0.6458852867830424,0.6540404040404041,2025-12-21 20:00:59
llama3.1:8b,Zero-Shot,0.5919165580182529,0.6118598382749326,0.5732323232323232,2025-12-21 20:00:59
